Date,Category,Properties,Amount,Notes
07/01/2021,Utilities,Campo,71.48,x
07/01/2021,Utilities,Poway,82.25,x
07/01/2021,Fee,DelMar,205.00,x
07/02/2021,Repairs - Plumbing,DelMar,250.00,x
07/04/2021,Utilities,DelMar,55.98,x
07/07/2021,Advertising,Campo,9.99,x
07/13/2021,Repairs - A/C,SabreSpring,290.00,x
07/19/2021,Advertising,Campo,35.00,x
07/19/2021,Advertising,Campo,35.00,x
07/19/2021,Advertising,Campo,35.00,x
07/19/2021,Advertising,Campo,35.00,x
07/20/2021,Advertising,Campo,35.00,x
07/21/2021,HOA,Alva,324.00,x
07/21/2021,HOA,Alta,287.00,x
07/21/2021,HOA,TorreyHighland,298.00,x
07/21/2021,HOA,Campo,298.00,x
07/21/2021,HOA,Poway,298.00,x
07/21/2021,HOA,SpringBrook,363.00,x
07/21/2021,HOA,SabreSpring,363.00,x
07/21/2021,HOA,Heatherton,390.00,x
07/21/2021,HOA,DelMar,295.00,x
07/21/2021,Advertising,Campo,35.00,x
07/24/2021,Utilities,Alva,173.15,x
07/26/2021,Appliance Supplies,Campo,31.22,x
07/26/2021,Repairs - Misc,Poway,60.00,x
07/29/2021,Repairs - Misc,TorreyHighland,60.00,x
07/30/2021,Legal & Prof. Fees,Alva,38.00,x
07/31/2021,Repairs - Plumbing,Campo,118.46,x
08/05/2021,Repairs - Misc,Campo,5.27,x
08/09/2021,Repairs - Plumbing,Campo,208.00,x
08/09/2021,Fee,DelMar,208.50,x
08/10/2021,Utilities,TorreyHighland,95.65,x
08/10/2021,Utilities,Campo,60.61,x
08/10/2021,Utilities,Poway,118.44,x
08/11/2021,Insurance,Alta,334.00,x
08/20/2021,HOA,Alva,324.00,x
08/20/2021,HOA,Alta,287.00,x
08/20/2021,HOA,TorreyHighland,298.00,x
08/20/2021,HOA,Campo,298.00,x
08/20/2021,HOA,Poway,298.00,x
08/20/2021,HOA,SpringBrook,363.00,x
08/20/2021,HOA,SabreSpring,363.00,x
08/20/2021,HOA,Heatherton,390.00,x
08/20/2021,HOA,DelMar,295.00,x
08/24/2021,Utilities,Alva,173.15,x
09/01/2021,Utilities,TorreyHighland,104.05,x
09/01/2021,Utilities,Campo,71.59,x
09/01/2021,Utilities,Poway,82.39,x
09/03/2021,Utilities,DelMar,58.74,x
09/04/2021,Repairs - Plumbing,SpringBrook,60.00,x
09/04/2021,Repairs - Plumbing,SabreSpring,284.38,x
09/07/2021,Return of Capital,Alva,3125.00,x
09/07/2021,Return of Capital,Alta,3125.00,x
09/07/2021,Return of Capital,SpringBrook,3125.00,x
09/07/2021,Return of Capital,SabreSpring,3125.00,x
09/07/2021,Return of Capital,TorreyHighland,3125.00,x
09/07/2021,Return of Capital,Campo,3125.00,x
09/07/2021,Return of Capital,Poway,3125.00,x
09/07/2021,Return of Capital,Heatherton,3125.00,x
09/08/2021,Refund (Deposit),Campo,2308.53,x
09/11/2021,Remodeling,Campo,333.26,x
09/12/2021,Repairs - Misc,DelMar,115.00,x
09/12/2021,Repairs - Misc,Poway,400.00,x
09/13/2021,Repairs - Plumbing,Heatherton,184.99,x
09/14/2021,Fee,DelMar,208.50,x
09/19/2021,Repairs - Plumbing,Heatherton,900.00,x
09/19/2021,Repairs - Misc,Alta,130.29,x
09/21/2021,HOA,Alva,324.00,x
09/21/2021,HOA,Alta,287.00,x
09/21/2021,HOA,TorreyHighland,298.00,x
09/21/2021,HOA,Campo,298.00,x
09/21/2021,HOA,Poway,298.00,x
09/21/2021,HOA,SpringBrook,363.00,x
09/21/2021,HOA,SabreSpring,363.00,x
09/21/2021,HOA,Heatherton,390.00,x
